6/13 13:58:29.182  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
6/13 13:58:30.383  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:30.383  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,133943,133943,-1,2,0,0,0,nil,nil,nil
6/13 13:58:30.667  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
6/13 13:58:31.918  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:31.919  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,266459,133229,-1,2,0,0,0,1,nil,nil
6/13 13:58:31.919  SPELL_AURA_APPLIED,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,256374,"Entropic Embrace",0x30,BUFF
6/13 13:58:32.018  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
6/13 13:58:32.418  SPELL_CAST_START,Creature-0-3777-1512-995-97682-000008AA51,"Draenei Anchorite",0xa18,0x0,0000000000000000,nil,0x80000000,0x80000000,213525,"Greater Heal",0x1
6/13 13:58:33.219  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:33.219  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,134384,134383,-1,2,0,0,0,nil,nil,nil
6/13 13:58:33.219  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,259756,"Entropic Embrace",0x30,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,6720,6719,-1,48,0,0,0,nil,nil,nil
6/13 13:58:33.769  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
6/13 13:58:34.853  SPELL_CAST_SUCCESS,Creature-0-3777-1512-995-97682-000008AA51,"Draenei Anchorite",0xa18,0x0,Creature-0-3777-1512-995-113147-000088AA51,"Weak Lightspawn",0xa18,0x0,213525,"Greater Heal",0x1,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:34.987  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:34.987  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,132539,132539,78900,2,0,0,0,nil,nil,nil
6/13 13:58:34.987  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,259756,"Entropic Embrace",0x30,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,6627,6626,6626,48,0,0,0,nil,nil,nil
6/13 13:58:36.404  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,14914,"Holy Fire",0x2
6/13 13:58:37.690  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,14914,"Holy Fire",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:37.690  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,14914,"Holy Fire",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,257481,257481,257480,2,0,0,0,nil,nil,nil
6/13 13:58:37.690  SPELL_AURA_APPLIED,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,14914,"Holy Fire",0x2,DEBUFF
6/13 13:58:37.806  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,259756,"Entropic Embrace",0x30,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,12874,12874,12873,48,0,0,0,nil,nil,nil
6/13 13:58:38.689  SPELL_PERIODIC_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,14914,"Holy Fire",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,14036,14035,14035,2,0,0,0,nil,nil,nil
6/13 13:58:38.689  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,259756,"Entropic Embrace",0x30,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,702,701,701,48,0,0,0,nil,nil,nil
